passenger_count,pickup_ID,dropoff_ID,request_time_sec,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
1,0,4293,36011,40.7263069152832,-73.99409484863281,40.7164306640625,-74.00228118896483
4,1,4294,36013,40.723480224609375,-73.98529815673827,40.723419189453125,-73.992919921875
1,2,4295,36018,40.7264404296875,-73.98625183105469,40.710750579833984,-74.0032958984375
1,3,4296,36023,40.7205467224121,-73.99688720703125,40.722553253173835,-74.0036849975586
1,4,4297,36028,40.72661972045898,-73.99594116210938,40.71487808227539,-74.01366424560547
1,5,4298,36031,40.720951080322266,-74.00414276123048,40.720951080322266,-74.00414276123048
1,6,4299,36035,40.70303726196289,-74.0142822265625,40.71515274047852,-74.00218200683594
1,7,4300,36037,40.73158645629882,-74.00114440917967,40.72857666015625,-73.99435424804686
1,8,4301,36041,40.732955932617195,-74.00871276855469,40.7175178527832,-74.01366424560547
1,9,4302,36042,40.731155395507805,-73.99171447753906,40.7310791015625,-73.99185943603516
1,10,4303,36044,40.71986770629882,-74.00861358642578,40.72365188598633,-74.00167846679686
6,11,4304,36045,40.7238883972168,-73.99668121337889,40.72213363647461,-74.00983428955078
1,12,4305,36048,40.7039909362793,-74.00872039794923,40.71036529541016,-74.01488494873048
2,13,4306,36050,40.721073150634766,-74.01010131835938,40.711669921875,-74.01480102539062
1,14,4307,36051,40.728511810302734,-74.00716400146483,40.718505859375,-74.0052490234375
2,15,4308,36052,40.706439971923835,-74.01603698730467,40.70542907714844,-74.00537872314453
1,16,4309,36052,40.73673629760742,-74.00655364990233,40.725830078125,-74.00806427001953
1,17,4310,36053,40.733680725097656,-74.00253295898438,40.73271179199219,-74.00846862792967
5,18,4311,36053,40.71769714355469,-74.01396179199219,40.72078704833984,-73.99760437011719
1,19,4312,36060,40.71392059326172,-73.9924087524414,40.73479843139648,-74.00834655761719
2,20,4313,36063,40.73094177246094,-74.00285339355469,40.70487976074219,-74.01164245605469
1,21,4314,36073,40.72555923461913,-74.00383758544923,40.708229064941406,-74.01405334472656
1,22,4315,36074,40.712505340576165,-74.00987243652342,40.717735290527344,-74.0036849975586
1,23,4316,36074,40.7203254699707,-73.99603271484375,40.7203254699707,-73.99603271484375
2,24,4317,36075,40.71312713623047,-74.01444244384764,40.737548828125,-74.00702667236328
1,25,4318,36075,40.71939849853516,-73.9857177734375,40.71844100952149,-74.00040435791014
1,26,4319,36081,40.72903823852539,-73.99359130859375,40.7227897644043,-73.9929428100586
6,27,4320,36081,40.70497894287109,-74.01364135742188,40.72705841064453,-74.00732421875
1,28,4321,36081,40.72001647949219,-74.00674438476561,40.74036407470703,-74.00570678710938
1,29,4322,36081,40.70188903808594,-74.01239013671875,40.71567535400391,-74.01482391357422
1,30,4323,36082,40.72489547729492,-73.99539947509764,40.72077941894531,-73.9785614013672
1,31,4324,36083,40.70827865600586,-74.0167465209961,40.70466995239258,-74.0147933959961
1,32,4325,36084,40.70604705810546,-74.01607513427734,40.713165283203125,-74.01343536376953
1,33,4326,36084,40.73054122924805,-73.99028778076173,40.7342185974121,-73.99903106689453
1,34,4327,36088,40.72075653076172,-73.99561309814453,40.733985900878906,-74.00712585449219
1,35,4328,36093,40.74268341064453,-74.00740051269531,40.73105239868164,-73.98966217041014
1,36,4329,36097,40.724563598632805,-73.99240112304686,40.72861099243164,-73.9983139038086
4,37,4330,36099,40.72247695922852,-73.98677062988281,40.725444793701165,-73.99623107910156
1,38,4331,36102,40.70482635498047,-74.00856018066406,40.71785736083984,-74.00016021728516
3,39,4332,36108,40.71200942993164,-74.01035308837889,40.70601272583008,-74.01175689697266
1,40,4333,36114,40.72425842285156,-73.99281311035155,40.72517013549805,-74.00734710693358
1,41,4334,36116,40.731719970703125,-73.99202728271484,40.731719970703125,-73.99202728271484
1,42,4335,36119,40.724319458007805,-73.99247741699219,40.727149963378906,-73.99999237060547
1,43,4336,36124,40.720039367675774,-74.00508117675781,40.729000091552734,-74.00692749023438
1,44,4337,36127,40.736106872558594,-73.99763488769531,40.74087142944336,-74.00491333007811
1,45,4338,36130,40.71921920776367,-74.00501251220702,40.72217178344727,-73.99713897705078
4,46,4339,36138,40.724571228027344,-73.98732757568358,40.7309684753418,-73.99054718017578
2,47,4340,36144,40.705860137939446,-74.01663208007811,40.71570587158203,-74.0064926147461
3,48,4341,36147,40.72085189819336,-74.00515747070312,40.71627807617188,-74.002685546875
1,49,4342,36148,40.72478103637695,-73.99405670166014,40.72718048095703,-73.99976348876953
1,50,4343,36149,40.72578811645508,-73.9971923828125,40.727195739746094,-74.00682830810547
1,51,4344,36152,40.72993850708008,-73.99043273925781,40.71800231933594,-73.98468017578125
1,52,4345,36154,40.706172943115234,-74.01613616943358,40.71239471435546,-74.01398468017578
2,53,4346,36154,40.735958099365234,-74.00141906738281,40.72893524169922,-74.00675201416014
1,54,4347,36158,40.73318099975586,-74.00298309326173,40.72499084472656,-74.0056915283203
6,55,4348,36161,40.7047119140625,-74.01662445068358,40.710716247558594,-74.01609802246092
1,56,4349,36165,40.7229118347168,-74.00798797607422,40.723011016845696,-74.00792694091797
1,57,4350,36166,40.728851318359375,-73.99034881591797,40.7195701599121,-74.010009765625
2,58,4351,36170,40.71525192260742,-74.00786590576173,40.72750473022461,-74.00704956054686
