passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_time_sec
2,3,-74.00778961,40.74027634,-73.96787262,40.7526741,57600
1,1.3,-73.99267578,40.75094604,-73.98020935,40.76053619,57605
1,3.1,-73.99710846,40.72235489,-73.98526764,40.75344467,57610
3,1.32,-73.99195862,40.7416687,-73.99367523,40.72715378,57611
1,1,-73.9831543,40.7666626,-73.99066162,40.75757599,57616
1,2.56,-74.00299835,40.73342896,-73.978508,40.7589798,57621
1,1.54,-73.99533844,40.74958038,-73.9821701,40.76896667,57622
1,2.33,-74.00744629,40.72741699,-74.01159668,40.7037735,57627
2,1.2,-73.99241638,40.75617599,-73.97111511,40.75155258,57632
1,3.31,-73.99891663,40.72289658,-73.9784317,40.76216888,57637
4,1.44,-74.00170135,40.76197052,-73.98760986,40.74965668,57642
1,1.1,-73.97520447,40.75810242,-73.98776245,40.74920654,57647
1,1.96,-73.97386169,40.75110245,-73.98455811,40.76953125,57652
1,2.5,-74.00313568,40.73907471,-73.97564697,40.75803757,57657
1,1.1,-73.99486542,40.73457718,-74.00097656,40.72389603,57662
2,14.8,-73.97510529,40.75781631,-73.97510529,40.75781631,57667
4,2,-74.00959778,40.72784042,-74.00498199,40.74992752,57672
1,1.25,-73.9783783,40.75696182,-73.97824097,40.74251938,57673
1,2.6,-73.985672,40.75692749,-73.99141693,40.72938538,57674
2,2.6,-74.00720215,40.72760773,-73.9837265,40.75492859,57679
1,0.1,-73.98251343,40.76172256,-73.98095703,40.76023102,57680
1,4.12,-73.96865082,40.74824524,-74.00564575,40.72597122,57685
1,2.61,-74.00692749,40.74876785,-73.97245789,40.75122452,57690
2,1.58,-74.00610352,40.73984528,-74.0018692,40.72454834,57695
1,0.47,-73.99638367,40.74309158,-74.0008316,40.73813629,57700
1,1.1,-74.0062561,40.71687698,-73.99033356,40.71268082,57701
1,3.4,-73.99803162,40.74104691,-74.01654053,40.70464325,57706
1,4.55,-74.0140686,40.71222687,-73.98629761,40.75915527,57707
1,3.35,-73.98686218,40.76656342,-73.99951172,40.72516632,57713
2,0.75,-73.99150848,40.72686005,-73.99008942,40.73051071,57718
1,1,-73.99207306,40.72560501,-73.99835968,40.7353096,57719
1,0.96,-73.9857254,40.7399559,-73.98786163,40.7496376,57724
1,2.7,-74.00393677,40.7257576,-73.9784317,40.7513237,57725
1,11.27,-73.9835968,40.76065826,-73.97793579,40.75809097,57730
1,1.1,-73.98552704,40.75312424,-74.00228119,40.76098251,57735
5,5.06,-73.98113251,40.76523972,-74.01402283,40.71448898,57740
2,0.9,-73.98524475,40.74777222,-73.99626923,40.7433815,57741
1,0.8,-73.96539307,40.75480652,-73.97303772,40.76290894,57746
1,4.9,-74.00646973,40.70735931,-73.96468353,40.75582504,57751
1,1.89,-73.99411011,40.7266655,-73.97515869,40.74158478,57756
1,1.13,-74.01283264,40.70796967,-73.99986267,40.71773911,57761
4,3.3,-74.01171875,40.72220993,-73.99253845,40.75847244,57766
2,0.9,-73.9836731,40.74788284,-73.9920578,40.7555275,57767
2,2.81,-74.002388,40.73983002,-73.98892975,40.77148056,57772
1,2.2,-73.99652863,40.76337814,-74.00753021,40.73495483,57777
3,0.83,-73.98379517,40.74927139,-73.99375916,40.74567795,57778
1,6.34,-74.01470947,40.71446991,-73.97731781,40.75222015,57783
3,1,-73.99022675,40.75635529,-73.98254395,40.75001144,57788
1,0.5,-73.9654007,40.75725555,-73.95950317,40.75840378,57793
1,0.3,-73.99181366,40.73501205,-73.98620605,40.73287964,57798
1,2.4,-73.99235535,40.71511078,-73.99084473,40.74225616,57803
1,0.16,-73.97289276,40.75228119,-73.97303009,40.75236511,57808
2,3.7,-74.00669861,40.73081589,-73.98508453,40.76506805,57809
1,2.2,-73.97659302,40.74800491,-74.00182343,40.7352066,57814
1,1.18,-74.00550079,40.7181015,-73.98918152,40.72324371,57819
1,0.7,-73.97646332,40.75544739,-73.98290253,40.76220322,57820
2,1.3,-73.9897995,40.75352478,-73.97505951,40.76277924,57825
1,0.6,-74.00040436,40.7378006,-74.00885773,40.7331543,57830
1,0.9,-73.99337006,40.74703979,-73.97936249,40.73974609,57835
1,0.75,-73.9887619,40.74113846,-73.98126984,40.74438858,57840
1,0.9,-73.98078918,40.7505188,-73.99033356,40.74052811,57845
1,0.7,-73.98111725,40.73337555,-73.97348022,40.73808289,57846
1,1.5,-73.99033356,40.73431778,-74.00466156,40.74167633,57851
4,1.3,-74.00154114,40.76234818,-73.98999023,40.7500267,57852
1,1.2,-73.97813416,40.75109482,-73.98836517,40.73963547,57857
4,2.4,-73.99056244,40.73501205,-74.01052094,40.71378708,57862
1,1.4,-73.98916626,40.7364006,-73.99462891,40.75047684,57867
1,2.4,-73.96716309,40.76063919,-73.98522949,40.73208237,57872
1,1.2,-73.98294067,40.76177597,-73.98899841,40.77384186,57877
1,3.5,-73.96585846,40.75437164,-74.00818634,40.73807526,57882
1,1.1,-73.9757843,40.74897385,-73.98522186,40.7519455,57888
1,0.6,-73.97763062,40.7568779,-73.98926544,40.75587082,57889
2,1.8,-73.99089813,40.73641968,-73.98561859,40.74468613,57894
1,1.1,-73.99343109,40.75255585,-73.97992706,40.76101303,57899
1,2.21,-73.98339081,40.7477684,-74.00814056,40.73871994,57904
1,1.2,-74.0068512,40.74880219,-73.9964447,40.7397728,57909
1,2.74,-74.00481415,40.70740509,-73.97889709,40.72399139,57914
2,0.8,-73.98894501,40.74855423,-73.97827148,40.75237656,57915
1,1.2,-74.00205994,40.72283173,-74.00817871,40.7355957,57920
1,0.9,-73.9799881,40.75458908,-73.99006653,40.75113297,57925
1,1.9,-74.0042572,40.75222778,-73.99459076,40.73425674,57926
5,2.45,-73.98310089,40.75893021,-74.00808716,40.73958969,57931
1,1.2,-73.97931671,40.76689911,-73.95937347,40.75925446,57936
1,0.99,-73.98861694,40.74293137,-73.9850769,40.73499298,57941
1,4.1,-74.01409912,40.71211243,-73.98625946,40.7591362,57946
2,1.55,-74.00622559,40.73965073,-73.99079132,40.74406815,57951
1,0.3,-73.99385834,40.75195694,-73.99157715,40.75496292,57952
1,3.13,-73.98370361,40.76480103,-74.00684357,40.73020172,57957
2,1.6,-73.97657776,40.75726318,-73.98299408,40.73974609,57959
1,1.1,-73.9812851,40.72506714,-73.9937973,40.72130966,57964
2,1.74,-73.98223877,40.75186539,-74.00071716,40.7401123,57969
1,0.8,-73.97314453,40.75802612,-73.97949219,40.76566315,57970
3,1.58,-73.99034882,40.75115967,-73.98107147,40.76451874,57975
1,2.05,-73.98934937,40.74060059,-73.99812317,40.71667099,57980
1,2.17,-73.97202301,40.7535553,-73.9911499,40.73153687,57981
1,1.9,-74.00705719,40.73935318,-74.00885773,40.71549988,57986
