COLUMNS

passenger_count
pickup_ID
dropoff_ID
pickup_time_sec
pickup_Latitude
pickup_Longitude
dropoff_Latitude
dropoff_Longitude

REQUESTS_INFO
1	0	30	57600	40.75094604	-73.99267578	40.76053619	-73.98020935
1	1	31	57606	40.72235489	-73.99710846	40.75344467	-73.98526764
3	2	32	57624	40.7416687	-73.99195862	40.72715378	-73.99367523
1	3	33	57640	40.7666626	-73.9831543	40.75757599	-73.99066162
1	4	34	57642	40.73342896	-74.00299835	40.7589798	-73.978508
1	5	35	57644	40.74958038	-73.99533844	40.76896667	-73.9821701
2	6	36	57648	40.75617599	-73.99241638	40.75155258	-73.97111511
4	7	37	57658	40.76197052	-74.00170135	40.74965668	-73.98760986
1	8	38	57660	40.75810242	-73.97520447	40.74920654	-73.98776245
1	9	39	57666	40.73907471	-74.00313568	40.75803757	-73.97564697
1	10	40	57672	40.73457718	-73.99486542	40.72389603	-74.00097656
1	11	41	57680	40.75696182	-73.9783783	40.74251938	-73.97824097
1	12	42	57690	40.75692749	-73.985672	40.72938538	-73.99141693
1	13	43	57708	40.74876785	-74.00692749	40.75122452	-73.97245789
1	14	44	57710	40.74309158	-73.99638367	40.73813629	-74.0008316
2	15	45	57720	40.72686005	-73.99150848	40.73051071	-73.99008942
1	16	46	57734	40.72560501	-73.99207306	40.7353096	-73.99835968
1	17	47	57746	40.7399559	-73.9857254	40.7496376	-73.98786163
1	18	48	57756	40.76065826	-73.9835968	40.75809097	-73.97793579
1	19	49	57770	40.75312424	-73.98552704	40.76098251	-74.00228119
2	20	50	57778	40.74777222	-73.98524475	40.7433815	-73.99626923
1	21	51	57796	40.7266655	-73.99411011	40.74158478	-73.97515869
2	22	52	57800	40.74788284	-73.9836731	40.7555275	-73.9920578
2	23	53	57808	40.73983002	-74.002388	40.77148056	-73.98892975
3	24	54	57820	40.74927139	-73.98379517	40.74567795	-73.99375916
3	25	55	57836	40.75635529	-73.99022675	40.75001144	-73.98254395
1	26	56	57838	40.73501205	-73.99181366	40.73287964	-73.98620605
1	27	57	57844	40.71511078	-73.99235535	40.74225616	-73.99084473
1	28	58	57862	40.74800491	-73.97659302	40.7352066	-74.00182343
2	29	59	57880	40.75352478	-73.9897995	40.76277924	-73.97505951
