passenger_count,pickup_ID,dropoff_ID,request_time_sec
1,731,731,25200
1,533,691,25200
1,884,669,25200
1,923,580,25200
5,666,480,25201
5,291,230,25201
1,858,969,25201
1,48,189,25202
3,1011,499,25202
2,718,506,25203
1,47,117,25203
1,233,373,25203
1,216,719,25203
1,527,396,25204
1,526,748,25204
1,317,464,25204
1,47,305,25205
1,884,597,25206
1,874,1074,25207
1,757,760,25208
1,325,526,25208
1,745,488,25208
1,1066,981,25209
1,836,673,25209
1,991,556,25210
1,374,581,25210
1,488,747,25210
6,802,1208,25211
1,972,599,25211
1,991,652,25212
1,557,528,25213
1,345,433,25213
1,888,649,25214
1,463,527,25214
1,313,669,25214
1,368,136,25214
1,532,780,25215
1,276,511,25215
5,621,694,25215
1,308,100,25215
1,618,719,25215
1,621,728,25216
2,527,527,25216
6,862,557,25216
1,603,670,25216
1,693,801,25216
1,924,421,25216
1,915,983,25216
1,927,815,25217
1,836,421,25218
5,314,421,25218
1,916,1147,25219
1,526,621,25219
1,817,528,25219
1,488,604,25219
6,771,601,25219
1,498,694,25220
1,882,189,25220
6,439,84,25220
1,666,829,25221
2,1290,1088,25221
1,133,652,25221
1,905,672,25221
1,1529,575,25222
1,117,63,25222
1,598,624,25222
5,888,21,25222
1,1025,849,25222
1,599,479,25222
2,884,1218,25223
1,748,10,25224
1,1132,605,25224
1,693,1048,25224
4,969,1032,25224
1,464,646,25224
5,527,555,25224
1,630,748,25224
1,760,628,25225
1,629,526,25225
2,557,417,25226
1,836,670,25226
1,770,605,25227
1,161,295,25227
1,850,669,25228
5,374,630,25229
1,371,600,25230
6,366,326,25230
1,699,748,25230
1,925,527,25230
1,702,1032,25231
2,1187,1217,25231
1,621,651,25231
1,686,556,25231
1,356,417,25231
1,524,267,25231
1,133,451,25232
1,971,431,25232
1,332,399,25232
1,946,741,25234
1,368,498,25234
1,556,575,25235
1,209,603,25235
5,355,274,25236
5,465,859,25236
1,376,529,25236
1,599,669,25236
1,286,677,25236
5,291,396,25237
1,700,748,25240
1,394,484,25240
5,550,412,25240
1,693,551,25240
1,499,134,25240
1,873,652,25241
6,117,117,25241
2,549,650,25241
1,136,600,25241
1,907,533,25242
1,985,549,25242
2,674,719,25242
2,314,369,25242
1,527,141,25243
1,527,629,25243
1,62,166,25243
1,1109,669,25244
1,645,737,25245
1,747,481,25245
1,499,671,25245
3,1090,1032,25245
2,314,117,25245
1,713,647,25246
1,816,940,25247
1,526,697,25247
2,603,648,25247
2,366,434,25247
2,1107,827,25248
1,597,417,25248
1,582,527,25248
1,969,551,25249
1,618,556,25249
1,905,1032,25250
1,864,727,25250
1,434,171,25251
1,557,747,25251
1,693,669,25251
1,328,413,25251
2,693,526,25252
1,583,650,25252
1,174,138,25252
1,444,551,25252
1,481,603,25252
1,598,626,25252
1,1024,874,25253
1,677,577,25254
1,1108,1208,25254
3,311,399,25254
1,191,98,25254
1,388,650,25254
2,737,737,25255
1,259,390,25255
1,713,982,25255
5,989,801,25255
1,434,358,25255
1,628,604,25255
1,535,497,25256
5,549,618,25256
1,1065,1211,25257
1,627,742,25257
1,399,631,25257
1,804,675,25258
1,817,331,25258
1,413,439,25258
4,1090,1529,25258
1,484,556,25258
1,692,695,25259
1,436,545,25259
5,488,529,25259
1,1162,1158,25259
1,874,673,25260
1,328,673,25260
1,746,506,25260
1,1023,527,25261
1,783,648,25261
1,874,756,25261
1,120,136,25261
2,630,605,25261
1,556,258,25262
1,972,1032,25263
1,1058,744,25263
1,874,1208,25264
1,838,677,25264
1,670,693,25264
2,555,527,25265
1,444,671,25265
1,137,670,25265
1,813,813,25266
1,598,675,25267
1,970,526,25269
1,556,61,25269
1,884,695,25269
1,909,627,25270
1,463,335,25270
1,915,884,25271
1,557,417,25271
1,413,650,25271
1,888,397,25272
1,837,554,25272
1,873,649,25272
2,99,155,25272
1,306,527,25272
2,273,392,25272
1,714,272,25273
1,841,557,25273
1,621,647,25273
1,864,559,25274
2,466,697,25274
1,984,673,25275
1,486,557,25276
1,847,421,25276
1,393,45,25276
3,43,727,25276
1,655,557,25276
1,948,20,25276
1,651,748,25277
3,509,117,25277
2,598,670,25278
2,721,1032,25278
1,767,747,25279
1,527,768,25280
1,983,1048,25280
1,415,247,25281
6,574,558,25281
1,885,747,25282
1,678,678,25283
1,621,669,25283
1,463,556,25284
2,397,698,25284
1,487,463,25284
1,630,116,25285
