passenger_count,pickup_ID,dropoff_ID,request_time_sec
2,653,674,25200
1,817,749,25200
1,723,951,25201
1,466,415,25201
1,549,671,25205
1,393,929,25205
2,621,745,25205
1,597,692,25205
1,256,727,25205
1,280,435,25206
1,34,604,25207
4,34,604,25207
1,734,1302,25208
1,938,675,25209
2,1106,526,25209
1,802,554,25210
1,527,461,25210
1,699,313,25210
1,605,627,25211
1,419,629,25213
4,419,629,25213
2,621,671,25214
1,1168,668,25215
1,629,700,25216
2,759,621,25218
1,485,592,25218
1,509,790,25218
1,791,580,25218
2,527,395,25219
1,624,731,25219
2,345,196,25221
1,528,603,25221
1,749,723,25221
1,655,814,25221
1,598,597,25221
1,1044,35,25222
1,860,858,25222
1,317,97,25222
1,738,578,25226
1,838,884,25226
1,1195,1209,25226
1,715,629,25227
4,463,692,25229
1,463,692,25229
1,735,247,25232
2,1055,1053,25232
1,817,604,25232
1,351,421,25232
1,466,814,25234
1,863,721,25234
1,619,737,25235
1,724,675,25235
1,906,1199,25236
1,546,575,25237
1,981,554,25237
1,291,674,25238
1,555,673,25239
1,527,603,25240
1,484,414,25240
4,1031,604,25241
1,285,668,25241
2,1031,604,25241
1,889,672,25242
1,690,548,25242
1,628,532,25242
1,310,212,25243
1,724,937,25243
4,310,212,25243
1,702,551,25244
1,970,884,25244
1,718,549,25245
1,703,838,25245
2,701,628,25246
1,526,600,25246
2,409,757,25246
1,434,117,25246
1,119,170,25247
1,1014,925,25247
1,391,438,25248
1,133,35,25249
2,948,651,25249
2,504,674,25249
1,816,655,25249
4,768,749,25250
1,768,749,25250
1,1044,652,25250
1,485,580,25251
1,887,1218,25251
3,527,604,25251
1,1171,737,25252
1,597,417,25253
1,1225,1530,25253
1,598,671,25253
1,371,328,25256
1,505,251,25256
1,598,691,25258
1,597,577,25258
4,474,731,25259
2,474,731,25259
1,859,675,25259
1,758,620,25260
1,597,284,25261
1,627,31,25261
1,620,507,25261
1,859,691,25262
1,927,624,25262
1,598,718,25262
1,712,767,25262
1,579,859,25262
1,666,862,25263
4,666,862,25263
1,840,993,25264
1,457,48,25266
1,527,439,25269
1,525,545,25269
1,559,160,25270
1,951,1183,25270
1,1024,1151,25271
1,929,571,25272
1,527,537,25273
1,906,602,25276
1,118,191,25276
1,20,549,25276
2,527,368,25276
1,230,118,25277
1,436,675,25278
1,545,550,25278
1,550,580,25280
4,250,65,25280
1,250,65,25280
1,1320,1246,25281
2,349,761,25282
1,332,325,25283
1,336,211,25283
1,535,549,25284
1,171,603,25284
1,621,724,25285
1,34,189,25285
1,608,622,25287
1,35,396,25289
1,663,476,25289
1,723,992,25290
1,748,1705,25290
1,621,716,25292
1,735,421,25292
1,485,648,25293
1,484,675,25295
1,34,727,25295
1,557,396,25296
1,962,827,25296
2,504,335,25297
4,504,335,25297
2,407,43,25297
1,916,189,25299
1,294,332,25299
1,557,357,25301
1,338,463,25301
1,598,260,25302
1,443,628,25303
2,619,443,25305
4,619,443,25305
1,529,693,25305
1,161,294,25306
1,504,396,25306
1,349,737,25307
1,629,607,25307
1,477,375,25307
1,723,747,25308
4,597,484,25308
1,597,484,25308
1,849,666,25309
1,461,760,25309
1,746,527,25311
2,619,601,25312
4,619,601,25312
1,1156,769,25312
1,723,858,25312
1,1012,695,25312
2,440,680,25313
1,804,693,25314
1,441,1127,25314
1,780,648,25315
1,354,213,25315
1,137,464,25315
2,863,925,25316
1,134,21,25317
2,650,527,25318
1,189,440,25319
1,411,529,25321
2,367,693,25321
1,179,348,25323
1,527,1128,25323
1,940,882,25324
1,603,651,25325
3,392,695,25328
1,810,505,25329
1,177,267,25330
1,861,720,25330
1,1283,1107,25331
2,352,766,25331
4,605,621,25332
1,549,881,25332
2,605,621,25332
1,1489,1355,25332
1,908,1530,25334
1,527,117,25335
1,419,389,25335
1,370,291,25337
1,527,671,25337
1,119,670,25340
2,557,793,25341
1,255,604,25342
1,481,524,25342
1,621,671,25342
1,1107,669,25343
1,816,466,25343
4,654,575,25344
1,654,575,25344
1,1069,749,25345
1,961,696,25346
1,663,1196,25346
1,353,279,25346
1,506,1265,25347
1,397,726,25348
4,463,534,25349
1,463,534,25349
1,1011,421,25351
1,1066,859,25351
1,1291,1236,25352
1,758,620,25352
1,354,556,25352
1,983,916,25352
1,421,581,25353
1,1031,833,25353
3,597,555,25354
1,504,482,25354
1,312,376,25354
1,959,45,25354
1,60,188,25354
1,557,732,25356
1,48,188,25358
4,48,188,25358
1,288,444,25358
1,486,650,25358
1,883,526,25359
2,1001,512,25360
1,796,884,25360
1,60,629,25361
1,690,580,25361
2,253,600,25361
1,441,860,25362
1,551,457,25362
1,395,533,25363
1,486,728,25363
2,504,19,25364
1,793,621,25364
1,839,723,25365
1,632,35,25365
1,748,1531,25366
1,892,624,25366
1,757,435,25366
4,863,627,25367
1,690,620,25367
1,863,627,25367
1,1068,702,25368
1,885,701,25368
2,792,678,25368
4,792,678,25368
1,1022,686,25369
1,1301,1217,25369
4,1301,1217,25369
1,863,1218,25370
4,757,1529,25370
2,757,1529,25370
2,1140,1633,25372
4,1140,1633,25372
1,527,133,25372
1,579,627,25373
