passenger_count,pickup_ID,dropoff_ID,request_time_sec
1,687,669,25200
1,579,571,25200
1,1044,507,25201
4,1044,507,25201
1,914,1227,25202
1,981,655,25202
1,115,189,25202
4,115,189,25202
1,643,45,25202
1,510,605,25202
2,557,779,25203
2,792,905,25203
4,1175,1044,25203
2,1175,1044,25203
1,654,557,25203
4,438,864,25204
1,438,864,25204
1,791,907,25204
3,959,693,25205
1,712,983,25205
1,526,693,25205
1,526,604,25205
1,665,526,25205
1,597,727,25205
1,248,600,25205
1,376,335,25206
1,939,600,25206
1,746,628,25206
1,253,767,25206
1,603,672,25207
1,717,779,25208
2,632,533,25208
1,598,602,25209
1,504,628,25210
1,652,374,25210
1,556,662,25210
1,531,647,25210
1,597,672,25211
2,439,652,25211
1,758,389,25212
2,1151,902,25212
4,782,801,25212
1,782,801,25212
1,369,291,25213
1,504,486,25213
4,1068,780,25213
1,1068,780,25213
2,527,668,25213
1,621,604,25213
1,310,227,25213
1,393,604,25213
1,557,48,25214
1,527,650,25214
1,251,674,25215
2,713,556,25215
1,209,602,25216
2,559,601,25216
1,526,760,25216
1,441,556,25216
1,861,677,25216
1,326,117,25217
1,927,793,25217
1,395,171,25217
1,985,600,25217
3,1001,116,25217
1,369,626,25217
1,840,1011,25218
1,745,925,25219
1,20,485,25219
1,475,434,25219
2,512,394,25220
1,461,652,25220
1,119,409,25220
1,464,600,25220
2,526,626,25221
1,229,647,25221
4,526,626,25221
1,533,461,25221
1,894,577,25221
4,229,647,25221
4,557,20,25222
1,557,20,25222
1,888,22,25222
1,813,695,25223
1,527,604,25223
1,925,722,25223
1,837,992,25224
1,560,673,25224
1,582,596,25225
1,557,465,25227
4,60,946,25227
2,60,946,25227
1,971,579,25227
1,504,416,25227
1,723,950,25228
4,723,950,25228
1,533,310,25228
1,137,534,25228
1,549,648,25228
1,713,664,25229
1,1475,1433,25229
1,674,818,25229
4,1475,1433,25229
1,546,959,25230
1,745,973,25230
1,945,945,25230
4,781,673,25231
1,781,673,25231
1,728,794,25231
1,655,842,25231
1,393,269,25231
1,304,576,25231
1,133,188,25231
4,693,619,25232
2,693,619,25232
1,527,544,25232
3,840,993,25232
1,31,116,25233
1,237,727,25234
1,466,653,25235
1,35,396,25235
1,1001,680,25235
4,618,835,25235
1,618,835,25235
1,526,782,25236
1,598,647,25236
4,945,649,25236
2,296,369,25236
1,945,649,25236
2,291,505,25237
1,247,600,25237
4,247,600,25237
1,852,857,25238
2,758,604,25238
1,793,599,25238
1,926,1218,25238
1,963,673,25239
1,619,374,25239
1,721,788,25239
1,972,535,25240
1,556,694,25240
1,873,532,25242
1,716,646,25242
1,556,671,25242
1,556,551,25243
3,865,605,25243
1,702,651,25243
1,598,626,25243
1,152,328,25244
1,725,1045,25244
1,629,945,25244
1,794,189,25244
1,993,690,25245
1,461,115,25245
1,882,672,25245
2,927,906,25245
1,466,836,25248
1,455,669,25248
2,910,671,25249
1,922,727,25249
1,983,676,25250
1,369,335,25250
1,417,580,25251
1,794,580,25252
4,794,580,25252
1,137,531,25252
1,604,697,25252
1,926,527,25252
1,308,748,25253
1,1111,554,25254
1,556,134,25254
1,349,647,25254
1,510,1027,25254
2,526,693,25255
1,556,21,25255
2,310,628,25255
1,527,603,25255
1,937,1068,25255
1,557,116,25256
1,598,628,25257
1,1218,950,25257
1,78,21,25257
1,662,758,25257
1,791,842,25258
1,486,624,25258
1,504,600,25258
3,526,532,25258
2,256,670,25258
1,791,396,25260
4,526,669,25260
1,631,702,25260
1,655,1097,25260
1,1066,1566,25261
1,627,646,25261
1,621,649,25261
1,597,579,25262
1,463,629,25262
1,1022,651,25262
1,330,691,25263
1,1066,626,25263
3,791,253,25263
1,527,438,25264
1,534,533,25264
1,816,649,25264
1,720,726,25264
1,1088,768,25264
2,354,556,25264
1,329,416,25265
1,768,749,25265
4,549,701,25265
4,99,650,25265
1,99,650,25265
1,549,701,25265
1,1149,386,25266
1,505,217,25267
1,226,139,25267
1,793,626,25267
1,828,718,25267
1,669,711,25267
1,661,578,25268
2,220,332,25268
1,1005,694,25269
1,597,555,25269
1,556,653,25269
1,43,48,25270
1,604,675,25270
1,852,674,25270
1,526,580,25270
1,454,603,25271
1,527,133,25271
4,454,603,25271
1,1174,1192,25271
1,250,527,25271
3,602,593,25272
1,436,399,25273
1,176,600,25273
3,486,849,25274
1,1111,973,25274
1,791,718,25274
2,749,765,25274
4,749,765,25274
1,908,671,25275
1,907,814,25275
1,621,648,25275
1,436,600,25275
1,1176,580,25276
2,529,578,25276
1,1087,736,25276
1,852,476,25276
1,311,581,25276
3,744,48,25277
1,189,116,25277
1,647,665,25277
1,304,597,25277
2,746,557,25277
4,550,1003,25278
2,550,1003,25278
1,598,721,25278
1,527,416,25278
1,412,138,25278
1,504,671,25278
1,727,676,25278
1,455,415,25278
3,43,557,25279
1,527,579,25279
1,863,994,25280
1,43,487,25280
2,194,171,25280
1,1129,739,25280
1,1135,836,25282
3,923,697,25282
1,990,676,25282
1,670,711,25282
1,857,578,25283
1,527,603,25284
1,1106,1087,25284
1,458,628,25284
1,626,473,25284
2,760,801,25285
2,504,416,25285
3,603,45,25285
1,968,670,25285
2,723,677,25286
1,646,711,25286
4,723,677,25286
1,598,649,25286
2,863,601,25286
2,795,556,25287
1,292,522,25287
2,442,231,25287
1,604,678,25287
1,579,506,25287
1,1001,694,25288
1,760,726,25288
1,847,615,25288
1,735,134,25289
1,529,531,25289
1,940,722,25289
1,466,813,25290
1,604,671,25290
1,466,581,25290
1,436,670,25290
1,817,673,25290
2,864,745,25290
1,237,507,25290
1,834,534,25290
1,463,698,25291
1,499,293,25291
1,1022,502,25292
2,43,1529,25292
1,527,676,25292
1,621,625,25292
1,557,116,25292
1,597,672,25292
1,189,627,25292
1,621,648,25292
4,531,718,25293
2,531,718,25293
1,744,534,25293
1,163,291,25294
1,760,828,25294
4,760,828,25294
1,970,601,25294
2,749,648,25295
1,737,1010,25295
1,688,982,25296
1,609,555,25296
1,835,723,25296
1,455,497,25296
1,78,526,25297
1,648,534,25297
1,847,696,25297
1,972,599,25298
2,926,652,25298
1,735,479,25299
1,690,553,25299
1,603,670,25299
1,1091,507,25299
1,739,483,25300
2,556,544,25300
1,860,527,25300
1,527,671,25300
3,534,139,25301
1,598,875,25301
1,440,579,25301
1,535,651,25302
1,723,727,25302
2,652,534,25303
1,213,135,25304
1,332,369,25304
1,712,64,25304
1,884,527,25304
1,648,760,25304
2,236,793,25305
1,457,648,25305
2,358,505,25305
1,839,463,25305
1,308,629,25305
1,621,580,25306
1,553,695,25306
1,1089,720,25306
1,723,727,25306
1,433,526,25307
1,723,864,25307
1,655,859,25307
1,47,123,25307
1,870,711,25308
1,213,604,25308
1,827,691,25308
1,583,836,25309
1,743,864,25310
2,373,650,25310
1,479,171,25311
3,464,375,25311
3,598,671,25312
1,476,550,25312
1,781,671,25312
1,134,416,25312
2,118,45,25312
1,835,883,25312
1,269,328,25312
1,269,328,25312
2,31,35,25312
1,486,923,25313
2,838,628,25313
2,527,272,25313
1,527,532,25314
1,813,946,25314
1,1517,749,25314
1,892,526,25315
1,948,673,25315
1,925,649,25315
1,579,828,25315
1,1301,1706,25315
1,137,671,25316
1,742,946,25316
1,258,558,25316
1,894,669,25317
1,1129,1044,25317
1,842,376,25317
1,557,417,25317
1,1066,646,25317
1,458,673,25318
1,778,1529,25319
2,654,605,25319
4,693,858,25319
1,462,550,25319
1,373,222,25319
2,693,858,25319
1,841,693,25321
1,549,410,25321
1,841,602,25321
1,462,10,25321
4,841,693,25321
